code,name,population
00,전국,0
11,서울특별시,0
11110,종로구,13
11140,중구,4
11170,용산구,12
11200,성동구,14
11215,광진구,15
11230,동대문구,24
11260,중랑구,6
11290,성북구,17
11305,강북구,9
11320,도봉구,9
11350,노원구,11
11380,은평구,11
11410,서대문구,38
11440,마포구,8
11470,양천구,13
11500,강서구,12
11530,구로구,12
11545,금천구,6
11560,영등포구,21
11590,동작구,20
11620,관악구,11
11650,서초구,19
11680,강남구,19
11710,송파구,22
11740,강동구,19
26,부산광역시,3527635
26110,중구,4
26140,서구,6
26170,동구,6
26200,영도구,4
26230,부산진구,20
26260,동래구,8
26290,남구,4
26320,북구,17
26350,해운대구,8
26380,사하구,14
26410,금정구,8
26440,강서구,15
26470,연제구,5
26500,수영구,7
26530,사상구,20
26710,기장군,15
27,대구광역시,0
27110,중구,6
27140,동구,25
27170,서구,20
27200,남구,10
27230,북구,25
27260,수성구,21
27290,달서구,20
27710,달성군,28
28,인천광역시,0
28110,중구,8
28140,동구,1
28170,남구,15
28185,연수구,4
28200,남동구,21
28237,부평구,11
28245,계양구,7
28260,서구,20
28710,강화군,11
28720,옹진군,5
29,광주광역시,0
29110,동구,12
29140,서구,25
29155,남구,15
29170,북구,33
29200,광산구,32
30,대전광역시,0
30110,동구,25
30140,중구,11
30170,서구,20
30200,유성구,10
30230,대덕구,18
31,울산광역시,0
31110,중구,8
31140,남구,16
31170,동구,9
31200,북구,5
31710,울주군,26
36,세종특별자치시,0
36110,세종시,18
41,경기도,0
41110,수원시,44
41111,수원시장안구,44
41113,수원시권선구,44
41115,수원시팔달구,44
41117,수원시영통구,44
41130,성남시,30
41131,성남시수정구,30
41133,성남시중원구,30
41135,성남시분당구,30
41150,의정부시,24
41170,안양시,18
41171,안양시만안구,18
41173,안양시동안구,18
41190,부천시,33
41195,부천시원미구,33
41197,부천시소사구,33
41199,부천시오정구,33
41210,광명시,6
41220,평택시,61
41250,동두천시,10
41270,안산시,39
41271,안산시상록구,39
41273,안산시단원구,39
41280,고양시,40
41281,고양시덕양구,40
41285,고양시일산동구,40
41287,고양시일산서구,40
41290,과천시,3
41310,구리시,7
41360,남양주시,35
41370,오산시,13
41390,시흥시,28
41410,군포시,14
41430,의왕시,5
41450,하남시,13
41460,용인시,45
41461,용인시처인구,45
41463,용인시기흥구,45
41465,용인시수지구,45
41480,파주시,36
41500,이천시,31
41550,안성시,27
41570,김포시,26
41590,화성시,58
41610,광주시,20
41630,양주시,15
41650,포천시,29
41660,여주군,15
41800,연천군,7
41820,가평군,15
41830,양평군,19
42,강원도,0
42110,춘천시,32
42130,원주시,35
42150,강릉시,26
42170,동해시,7
42190,태백시,6
42210,속초시,5
42230,삼척시,8
42720,홍천군,12
42730,횡성군,12
42750,영월군,8
42760,평창군,18
42770,정선군,9
42780,철원군,14
42790,화천군,2
42800,양구군,5
42810,인제군,2
42820,고성군,4
42830,양양군,11
43,충청북도,0
43110,청주시,66
43111,청주시상당구,66
43113,청주시흥덕구,66
43130,충주시,42
43150,제천시,13
43710,청원군,0
43720,보은군,18
43730,옥천군,10
43740,영동군,11
43745,증평군,4
43750,진천군,16
43760,괴산군,15
43770,음성군,20
43800,단양군,8
44,충청남도,0
44130,천안시,48
44131,천안시동남구,48
44133,천안시서북구,48
44150,공주시,23
44180,보령시,22
44200,아산시,50
44210,서산시,30
44230,논산시,32
44250,계룡시,1
44270,당진시,31
44710,금산군,12
44760,부여군,12
44770,서천군,16
44790,청양군,11
44800,홍성군,13
44810,예산군,23
44825,태안군,14
45,전라북도,0
45110,전주시,52
45111,전주시완산구,52
45113,전주시덕진구,52
45130,군산시,30
45140,익산시,41
45180,정읍시,27
45190,남원시,25
45210,김제시,24
45710,완주군,24
45720,진안군,9
45730,무주군,9
45740,장수군,9
45750,임실군,8
45770,순창군,14
45790,고창군,16
45800,부안군,12
46,전라남도,0
46110,목포시,22
46130,여수시,44
46150,순천시,27
46170,나주시,25
46230,광양시,10
46710,담양군,18
46720,곡성군,14
46730,구례군,6
46770,고흥군,16
46780,보성군,23
46790,화순군,13
46800,장흥군,11
46810,강진군,10
46820,해남군,20
46830,영암군,19
46840,무안군,25
46860,함평군,12
46870,영광군,12
46880,장성군,10
46890,완도군,8
46900,진도군,16
46910,신안군,8
47,경상북도,0
47110,포항시,31
47111,남구,31
47113,북구,31
47130,경주시,42
47150,김천시,22
47170,안동시,32
47190,구미시,35
47210,영주시,11
47230,영천시,22
47250,상주시,32
47280,문경시,13
47290,경산시,38
47720,군위군,12
47730,의성군,16
47750,청송군,6
47760,영양군,3
47770,영덕군,10
47820,청도군,17
47830,고령군,5
47840,성주군,15
47850,칠곡군,18
47900,예천군,11
47920,봉화군,8
47930,울진군,12
47940,울릉군,1
48,경상남도,0
48120,창원시,67
48121,의창구,67
48123,성산구,67
48125,마산합포구,0
48127,마산회원구,0
48129,진해구,0
48170,진주시,33
48220,통영시,12
48240,사천시,14
48250,김해시,33
48270,밀양시,24
48310,거제시,19
48330,양산시,18
48720,의령군,5
48730,함안군,15
48740,창녕군,19
48820,고성군,9
48840,남해군,3
48850,하동군,14
48860,산청군,5
48870,함양군,7
48880,거창군,15
48890,합천군,12
50,제주특별자치도,0
50110,제주시,30
50130,서귀포시,48
